person_age,gender,city,urban_type,family_size,dependents,house_ownership,occupation,person_emp_length,income_seasonal,person_income,loan_intent,loan_amnt,loan_int_rate,loan_percent_income,loan_tenor_months,nepra_income_tier,utility_units_per_month,monthly_bill_pkr,bills_paid_ontime_12mo,bills_late_12mo,payment_streak_months,has_mobile_wallet,wallet_provider,mobile_txn_per_month,has_smartphone,peer_defaults,has_guarantor,cb_person_default_on_file,cb_cred_hist_length_years,is_unbanked,loan_status,data_source
34,male,Peshawar,peri_urban,6,3,rent,Daily wage laborer,1.6,0,245892,working_capital,22019,30.9,0.09,9,very_low,54,755.0,4,8,5,1,EasyPaisa,17,0,4,0,Y,2,1,0,synthetic_PK_calibrated
31,male,Bahawalpur,rural_adjacent,8,1,rent,Small farmer,9.9,1,192972,working_capital,72215,20.9,0.374,24,lower_middle,297,11723.0,7,5,5,1,SadaPay,6,1,4,1,N,2,0,0,synthetic_PK_calibrated
45,male,Rahim Yar Khan,rural_adjacent,7,5,own,Home-based worker,1.7,0,298056,livestock,46975,29.9,0.158,12,very_low,59,825.0,8,4,6,1,EasyPaisa,20,1,2,0,Y,1,0,1,synthetic_PK_calibrated
56,male,Lahore,urban,4,0,rent,Informal factory worker,4.2,0,354432,inventory_purchase,99297,23.7,0.28,6,lower_middle,274,10815.0,8,4,3,0,None,0,1,5,0,N,0,0,0,synthetic_PK_calibrated
55,male,Sialkot,peri_urban,3,0,family_home,Self-employed electrician,1.3,0,642576,working_capital,143429,28.1,0.223,12,middle,378,17229.0,8,4,7,0,None,0,1,3,0,N,2,0,0,synthetic_PK_calibrated
32,female,Peshawar,peri_urban,2,0,family_home,Small farmer,0.5,1,347076,home_repair,10486,19.5,0.03,18,lower_middle,188,7420.0,5,7,7,0,None,0,1,3,0,N,1,0,1,synthetic_PK_calibrated
33,male,Rahim Yar Khan,rural_adjacent,6,2,family_home,Self-employed electrician,5.3,0,472176,working_capital,26677,30.6,0.056,6,middle,355,16181.0,7,5,5,0,None,0,0,3,0,N,3,1,0,synthetic_PK_calibrated
36,female,Peshawar,peri_urban,5,1,family_home,Small farmer,3.6,1,624960,medical_emergency,49482,22.6,0.079,6,lower_middle,198,7815.0,7,5,5,1,EasyPaisa,20,1,3,0,Y,3,0,0,synthetic_PK_calibrated
44,female,Bahawalpur,rural_adjacent,3,1,family_home,Rickshaw/bike driver,2.3,0,324348,equipment_purchase,119065,21.0,0.367,3,low,144,3884.0,3,9,7,1,NayaPay,20,0,4,0,Y,0,0,1,synthetic_PK_calibrated
31,male,Sialkot,peri_urban,5,3,rent,Street food vendor,1.3,1,490224,medical_emergency,110616,23.0,0.226,18,low,157,4234.0,4,8,3,1,SadaPay,28,1,3,0,N,2,0,0,synthetic_PK_calibrated
21,male,Bahawalpur,rural_adjacent,6,0,family_home,Construction worker,3.2,1,525516,education,25309,32.9,0.048,3,low,117,3155.0,8,4,2,0,None,0,1,5,1,N,1,1,0,synthetic_PK_calibrated
22,male,Multan,peri_urban,3,1,rent,Small farmer,5.2,1,462288,medical_emergency,26949,33.8,0.058,6,lower_middle,264,10420.0,5,7,3,0,None,0,1,4,1,N,0,0,0,synthetic_PK_calibrated
49,female,Multan,peri_urban,8,6,rent,Domestic worker,3.6,0,288480,working_capital,80745,24.3,0.28,24,very_low,63,881.0,5,7,2,1,SadaPay,19,1,3,0,Y,1,0,1,synthetic_PK_calibrated
36,male,Rahim Yar Khan,rural_adjacent,6,1,rent,Self-employed electrician,15.7,0,803184,medical_emergency,147709,30.6,0.184,12,middle,322,14677.0,9,3,9,1,NayaPay,17,1,2,0,N,2,0,0,synthetic_PK_calibrated
24,male,Multan,peri_urban,6,0,own,Rickshaw/bike driver,0.8,0,321324,livestock,146560,26.7,0.456,24,low,111,2994.0,8,4,4,1,JazzCash,28,1,3,1,N,1,1,0,synthetic_PK_calibrated
34,male,Faisalabad,urban,3,1,rent,Construction worker,2.7,1,240660,education,87838,27.2,0.365,12,low,187,5043.0,6,6,1,1,NayaPay,8,1,2,0,N,2,0,1,synthetic_PK_calibrated
41,male,Lahore,urban,6,3,rent,Domestic worker,1.1,0,349764,home_repair,78479,28.6,0.224,12,very_low,59,825.0,6,6,4,1,NayaPay,23,1,4,0,Y,2,1,1,synthetic_PK_calibrated
52,male,Bahawalpur,rural_adjacent,5,1,rent,Street food vendor,1.8,1,457404,inventory_purchase,9324,35.7,0.02,24,low,161,4342.0,6,6,1,0,None,0,1,3,0,N,2,1,0,synthetic_PK_calibrated
45,male,Sialkot,peri_urban,3,1,family_home,Self-employed electrician,0.9,0,744516,education,6828,27.1,0.009,12,middle,299,13628.0,9,3,9,0,None,0,1,2,1,N,0,0,0,synthetic_PK_calibrated
21,male,Sialkot,peri_urban,2,0,rent,Rickshaw/bike driver,4.6,0,280104,home_repair,5235,25.4,0.019,18,low,114,3075.0,6,6,4,1,JazzCash,6,0,1,1,N,3,0,1,synthetic_PK_calibrated
56,male,Bahawalpur,rural_adjacent,6,4,rent,Construction worker,7.0,1,519900,home_repair,48303,26.1,0.093,24,low,177,4774.0,5,7,3,0,None,0,1,3,0,Y,2,1,0,synthetic_PK_calibrated
25,female,Multan,peri_urban,3,1,rent,Small shopkeeper,5.2,0,709320,education,15789,31.5,0.022,18,lower_middle,290,11446.0,8,4,7,0,None,0,0,3,1,N,0,0,0,synthetic_PK_calibrated
32,male,Peshawar,peri_urban,5,3,own,Street food vendor,2.4,1,316452,home_repair,80683,27.8,0.255,9,low,107,2886.0,3,9,3,0,None,0,0,4,1,Y,3,1,1,synthetic_PK_calibrated
32,male,Rahim Yar Khan,rural_adjacent,8,3,own,Street food vendor,3.8,1,377676,working_capital,57329,31.9,0.152,6,low,207,5583.0,6,6,5,0,None,0,1,4,0,Y,1,0,1,synthetic_PK_calibrated
55,male,Rahim Yar Khan,rural_adjacent,7,2,own,Rickshaw/bike driver,1.6,0,495072,equipment_purchase,68731,27.7,0.139,9,low,120,3236.0,7,5,6,1,JazzCash,27,1,3,0,Y,1,0,1,synthetic_PK_calibrated
43,male,Peshawar,peri_urban,2,0,rent,Self-employed electrician,2.2,0,423588,equipment_purchase,24816,20.7,0.059,24,middle,342,15588.0,9,3,8,1,JazzCash,8,0,1,0,N,0,1,0,synthetic_PK_calibrated
38,male,Sialkot,peri_urban,6,4,rent,Small shopkeeper,0.8,0,368604,working_capital,16485,28.1,0.045,12,lower_middle,198,7815.0,10,2,6,1,EasyPaisa,29,1,2,1,Y,0,1,0,synthetic_PK_calibrated
47,female,Gujranwala,urban,2,0,own,Small shopkeeper,4.3,0,574152,home_repair,90595,22.3,0.158,6,lower_middle,246,9710.0,10,2,7,1,EasyPaisa,4,0,1,0,Y,3,0,0,synthetic_PK_calibrated
37,male,Gujranwala,urban,6,2,rent,Daily wage laborer,5.3,0,323592,home_repair,92955,24.0,0.287,6,very_low,68,951.0,5,7,3,0,None,0,0,3,0,Y,3,0,1,synthetic_PK_calibrated
41,female,Rawalpindi,urban,8,0,own,Small farmer,16.9,1,408756,education,121739,20.4,0.298,18,lower_middle,193,7618.0,5,7,6,1,JazzCash,23,0,2,0,Y,1,0,0,synthetic_PK_calibrated
44,male,Multan,peri_urban,3,1,rent,Daily wage laborer,0.9,0,370500,equipment_purchase,147736,25.5,0.399,12,very_low,106,1483.0,3,9,4,1,JazzCash,8,1,4,1,N,3,1,1,synthetic_PK_calibrated
30,male,Multan,peri_urban,4,2,own,Construction worker,9.9,1,528756,home_repair,64129,18.6,0.121,12,low,153,4126.0,5,7,4,0,None,0,0,3,1,Y,3,1,0,synthetic_PK_calibrated
28,male,Bahawalpur,rural_adjacent,4,1,rent,Home-based worker,2.7,0,213120,medical_emergency,93929,19.9,0.441,18,very_low,84,1175.0,6,6,5,0,None,0,1,3,0,Y,3,1,0,synthetic_PK_calibrated
36,male,Multan,peri_urban,2,0,family_home,Construction worker,4.1,1,269052,livestock,42641,28.6,0.158,3,low,111,2994.0,3,9,7,0,None,0,1,4,0,N,1,0,1,synthetic_PK_calibrated
42,female,Karachi,urban,8,2,rent,Self-employed electrician,7.9,0,792744,livestock,139055,25.9,0.175,12,middle,382,17412.0,11,1,7,1,SadaPay,4,1,1,0,Y,2,0,0,synthetic_PK_calibrated
54,female,Karachi,urban,6,1,family_home,Small shopkeeper,8.3,0,781368,livestock,78972,26.6,0.101,12,lower_middle,302,11920.0,4,8,8,0,None,0,1,2,1,N,1,0,0,synthetic_PK_calibrated
49,female,Sialkot,peri_urban,2,0,rent,Daily wage laborer,1.1,0,217740,home_repair,48001,32.4,0.22,18,very_low,102,1427.0,8,4,3,1,SadaPay,5,1,3,0,Y,1,0,0,synthetic_PK_calibrated
23,male,Faisalabad,urban,7,4,family_home,Rickshaw/bike driver,7.3,0,554532,working_capital,78781,35.4,0.142,3,low,209,5637.0,8,4,3,1,JazzCash,4,0,1,0,N,3,0,0,synthetic_PK_calibrated
51,male,Rawalpindi,urban,2,0,own,Fruit/veg cart,5.5,0,267444,inventory_purchase,22602,35.2,0.085,12,very_low,63,881.0,8,4,5,1,NayaPay,29,1,2,0,Y,2,0,1,synthetic_PK_calibrated
45,male,Multan,peri_urban,6,3,rent,Rickshaw/bike driver,1.0,0,362736,working_capital,76719,28.2,0.212,18,low,180,4855.0,3,9,7,1,NayaPay,4,1,2,0,Y,2,1,1,synthetic_PK_calibrated
55,male,Bahawalpur,rural_adjacent,6,2,family_home,Street food vendor,0.8,1,269628,inventory_purchase,47534,20.9,0.176,12,low,214,5772.0,7,5,0,0,None,0,1,2,0,N,2,1,0,synthetic_PK_calibrated
50,male,Sialkot,peri_urban,4,1,rent,Domestic worker,3.1,0,222516,home_repair,88807,31.9,0.399,12,very_low,112,1567.0,4,8,2,0,None,0,0,5,0,Y,0,1,1,synthetic_PK_calibrated
54,male,Faisalabad,urban,4,0,rent,Small farmer,0.5,1,504996,education,94186,26.1,0.187,18,lower_middle,258,10183.0,5,7,4,1,EasyPaisa,30,0,4,0,Y,1,0,1,synthetic_PK_calibrated
47,female,Sialkot,peri_urban,4,1,family_home,Self-employed electrician,2.2,0,830568,inventory_purchase,31431,33.6,0.038,12,middle,410,18688.0,9,3,7,0,None,0,0,3,0,Y,3,1,1,synthetic_PK_calibrated
26,male,Karachi,urban,5,1,own,Daily wage laborer,1.4,0,227508,medical_emergency,39531,28.1,0.174,3,very_low,95,1329.0,5,7,0,0,None,0,1,5,0,N,1,0,0,synthetic_PK_calibrated
37,female,Multan,peri_urban,8,5,rent,Daily wage laborer,2.6,0,367500,medical_emergency,74298,19.9,0.202,3,very_low,94,1315.0,6,6,6,0,None,0,0,1,1,Y,1,1,1,synthetic_PK_calibrated
52,male,Karachi,urban,2,0,family_home,Construction worker,1.7,1,408672,working_capital,132118,21.6,0.323,12,low,125,3371.0,5,7,2,0,None,0,1,2,1,Y,0,0,1,synthetic_PK_calibrated
31,female,Karachi,urban,5,1,own,Home-based worker,3.9,0,262860,medical_emergency,38662,29.6,0.147,3,very_low,56,783.0,6,6,5,0,None,0,0,3,1,N,1,0,0,synthetic_PK_calibrated
55,female,Rawalpindi,urban,8,2,rent,Domestic worker,6.2,0,311952,education,84561,25.3,0.271,18,very_low,119,1665.0,6,6,3,0,None,0,0,4,0,Y,2,0,1,synthetic_PK_calibrated
23,female,Multan,peri_urban,3,0,own,Small farmer,17.6,1,614652,home_repair,129677,29.8,0.211,9,lower_middle,284,11209.0,6,6,6,1,EasyPaisa,16,0,4,0,N,1,0,0,synthetic_PK_calibrated
55,female,Sialkot,peri_urban,7,5,own,Daily wage laborer,4.0,0,382920,working_capital,106459,28.7,0.278,24,very_low,86,1203.0,7,5,4,1,SadaPay,15,1,4,0,N,3,1,0,synthetic_PK_calibrated
42,male,Faisalabad,urban,7,5,rent,Domestic worker,8.6,0,209592,education,76635,24.8,0.366,9,very_low,59,825.0,6,6,2,1,SadaPay,13,1,4,0,Y,3,0,0,synthetic_PK_calibrated
33,male,Faisalabad,urban,3,0,own,Domestic worker,1.1,0,346152,inventory_purchase,137311,30.3,0.397,24,very_low,84,1175.0,5,7,7,1,JazzCash,15,1,4,0,Y,3,0,1,synthetic_PK_calibrated
35,female,Gujranwala,urban,3,0,rent,Home-based worker,4.5,0,154692,home_repair,53320,33.1,0.345,6,very_low,57,797.0,4,8,3,0,None,0,1,3,0,Y,0,0,0,synthetic_PK_calibrated
23,male,Bahawalpur,rural_adjacent,6,4,own,Daily wage laborer,4.3,0,379176,education,116279,31.5,0.307,18,very_low,111,1553.0,6,6,9,1,JazzCash,34,1,4,1,Y,3,1,0,synthetic_PK_calibrated
32,female,Karachi,urban,2,0,rent,Small farmer,8.1,1,485112,education,105494,30.5,0.217,12,lower_middle,233,9197.0,5,7,4,0,None,0,1,3,1,N,3,1,0,synthetic_PK_calibrated
21,male,Rahim Yar Khan,rural_adjacent,3,1,family_home,Rickshaw/bike driver,3.1,0,374616,equipment_purchase,78770,31.8,0.21,24,low,192,5178.0,5,7,4,1,JazzCash,16,1,2,0,N,1,0,0,synthetic_PK_calibrated
55,female,Bahawalpur,rural_adjacent,6,2,rent,Daily wage laborer,0.9,0,360552,inventory_purchase,126999,19.6,0.352,24,very_low,117,1637.0,3,9,2,1,NayaPay,29,1,4,0,Y,2,1,0,synthetic_PK_calibrated
55,male,Gujranwala,urban,2,0,rent,Rickshaw/bike driver,6.6,0,409788,livestock,145507,22.1,0.355,3,low,144,3884.0,6,6,8,0,None,0,0,3,0,Y,0,0,0,synthetic_PK_calibrated
43,female,Faisalabad,urban,2,0,rent,Rickshaw/bike driver,4.5,0,350724,livestock,54104,21.2,0.154,18,low,135,3641.0,8,4,5,1,JazzCash,34,1,4,1,Y,0,1,0,synthetic_PK_calibrated
54,male,Karachi,urban,7,4,family_home,Home-based worker,2.1,0,287052,working_capital,59253,22.8,0.206,18,very_low,73,1021.0,3,9,2,0,None,0,1,3,0,N,0,1,1,synthetic_PK_calibrated
24,male,Karachi,urban,7,1,family_home,Home-based worker,3.1,0,195060,livestock,130541,28.0,0.669,6,very_low,93,1301.0,4,8,3,0,None,0,0,3,1,Y,2,0,0,synthetic_PK_calibrated
35,male,Gujranwala,urban,5,0,rent,Construction worker,2.4,1,518364,medical_emergency,23752,33.2,0.046,18,low,107,2886.0,6,6,6,1,SadaPay,6,0,3,1,Y,2,0,0,synthetic_PK_calibrated
52,male,Faisalabad,urban,3,0,rent,Daily wage laborer,1.9,0,333516,medical_emergency,88362,32.2,0.265,24,very_low,114,1595.0,4,8,3,1,SadaPay,19,1,2,0,Y,3,0,0,synthetic_PK_calibrated
49,female,Rahim Yar Khan,rural_adjacent,5,1,rent,Informal factory worker,6.2,0,522264,equipment_purchase,141728,28.4,0.271,18,lower_middle,245,9670.0,8,4,4,0,None,0,1,3,0,N,1,0,1,synthetic_PK_calibrated
25,male,Bahawalpur,rural_adjacent,6,1,own,Home-based worker,0.5,0,329712,livestock,33179,25.9,0.101,12,very_low,117,1637.0,3,9,5,1,SadaPay,14,0,3,0,Y,1,1,1,synthetic_PK_calibrated
44,male,Rahim Yar Khan,rural_adjacent,8,6,family_home,Construction worker,5.6,1,286200,working_capital,142478,30.5,0.498,12,low,182,4909.0,3,9,1,0,None,0,1,4,0,Y,3,1,1,synthetic_PK_calibrated
56,female,Peshawar,peri_urban,4,2,own,Informal factory worker,4.2,0,356316,equipment_purchase,68037,26.7,0.191,24,lower_middle,193,7618.0,8,4,5,0,None,0,1,3,0,N,3,0,0,synthetic_PK_calibrated
37,male,Multan,peri_urban,4,0,own,Small farmer,2.7,1,188052,inventory_purchase,33380,25.1,0.178,24,lower_middle,231,9118.0,5,7,3,1,EasyPaisa,19,1,2,0,Y,1,0,0,synthetic_PK_calibrated
29,female,Lahore,urban,6,3,own,Small farmer,9.3,1,524052,working_capital,101722,19.9,0.194,12,lower_middle,213,8407.0,7,5,5,1,JazzCash,24,1,3,1,N,1,0,1,synthetic_PK_calibrated
36,female,Sialkot,peri_urban,8,5,family_home,Daily wage laborer,2.0,0,293040,equipment_purchase,129917,31.8,0.443,6,very_low,101,1413.0,6,6,4,1,NayaPay,6,1,5,0,Y,0,0,0,synthetic_PK_calibrated
22,male,Karachi,urban,2,0,own,Small shopkeeper,1.2,0,721500,livestock,22153,28.8,0.031,18,lower_middle,301,11880.0,9,3,6,1,SadaPay,13,1,2,0,N,0,1,0,synthetic_PK_calibrated
33,male,Bahawalpur,rural_adjacent,5,1,family_home,Rickshaw/bike driver,0.7,0,349536,medical_emergency,129447,23.7,0.37,3,low,143,3857.0,4,8,7,0,None,0,1,2,0,Y,1,0,0,synthetic_PK_calibrated
51,male,Gujranwala,urban,2,0,family_home,Domestic worker,5.6,0,273468,education,49638,26.8,0.182,12,very_low,78,1091.0,6,6,2,0,None,0,1,4,0,Y,0,1,1,synthetic_PK_calibrated
44,female,Gujranwala,urban,2,0,family_home,Informal factory worker,3.3,0,390636,working_capital,85102,29.1,0.218,6,lower_middle,182,7184.0,3,9,4,1,EasyPaisa,26,1,3,0,N,3,0,1,synthetic_PK_calibrated
53,female,Bahawalpur,rural_adjacent,4,2,rent,Construction worker,1.6,1,424548,education,119914,20.5,0.282,24,low,155,4180.0,5,7,2,1,SadaPay,21,0,5,0,N,3,1,0,synthetic_PK_calibrated
26,male,Gujranwala,urban,6,1,own,Daily wage laborer,5.1,0,369756,home_repair,114458,27.0,0.31,24,very_low,53,741.0,3,9,4,0,None,0,1,5,0,Y,3,1,0,synthetic_PK_calibrated
49,male,Faisalabad,urban,8,3,rent,Home-based worker,1.1,0,256776,livestock,39051,26.9,0.152,9,very_low,96,1343.0,10,2,7,0,None,0,1,4,0,N,0,0,1,synthetic_PK_calibrated
22,male,Rahim Yar Khan,rural_adjacent,7,4,family_home,Domestic worker,3.5,0,310656,inventory_purchase,27436,26.7,0.088,18,very_low,100,1399.0,7,5,2,1,NayaPay,6,0,2,0,Y,3,0,0,synthetic_PK_calibrated
25,male,Faisalabad,urban,5,0,family_home,Construction worker,3.8,1,444828,equipment_purchase,108302,22.4,0.243,12,low,123,3317.0,5,7,1,1,EasyPaisa,31,1,4,0,Y,3,0,1,synthetic_PK_calibrated
39,male,Faisalabad,urban,5,1,rent,Daily wage laborer,0.6,0,226488,equipment_purchase,70428,18.9,0.311,12,very_low,56,783.0,3,9,3,0,None,0,1,3,0,N,0,0,1,synthetic_PK_calibrated
44,female,Rawalpindi,urban,2,0,rent,Street food vendor,1.7,1,361476,inventory_purchase,67032,35.6,0.185,18,low,216,5826.0,4,8,3,0,None,0,1,4,0,Y,1,0,1,synthetic_PK_calibrated
40,male,Rahim Yar Khan,rural_adjacent,3,1,rent,Small farmer,7.6,1,352284,medical_emergency,105158,27.0,0.299,18,lower_middle,291,11486.0,5,7,6,1,NayaPay,11,0,3,0,Y,1,1,0,synthetic_PK_calibrated
47,female,Bahawalpur,rural_adjacent,7,2,family_home,Motorcycle mechanic,3.2,0,649416,home_repair,108850,32.0,0.168,9,lower_middle,276,10894.0,8,4,7,1,NayaPay,26,1,2,0,N,2,0,0,synthetic_PK_calibrated
34,female,Bahawalpur,rural_adjacent,5,3,own,Street food vendor,2.9,1,302676,working_capital,9135,27.1,0.03,12,low,101,2724.0,4,8,6,0,None,0,1,5,0,Y,3,1,1,synthetic_PK_calibrated
38,female,Peshawar,peri_urban,8,0,rent,Domestic worker,5.4,0,334020,education,31170,20.9,0.093,9,very_low,70,979.0,6,6,3,0,None,0,0,4,0,Y,2,1,1,synthetic_PK_calibrated
25,female,Bahawalpur,rural_adjacent,3,0,family_home,Fruit/veg cart,17.7,0,375588,working_capital,30556,25.6,0.081,6,very_low,52,727.0,7,5,4,1,SadaPay,27,1,3,1,Y,1,0,1,synthetic_PK_calibrated
52,male,Rawalpindi,urban,5,2,rent,Small farmer,1.6,1,449196,home_repair,68278,23.5,0.152,18,lower_middle,303,11959.0,2,10,2,1,NayaPay,5,0,2,0,Y,2,0,0,synthetic_PK_calibrated
52,female,Karachi,urban,4,1,rent,Construction worker,3.3,1,512952,equipment_purchase,27010,25.6,0.053,3,low,137,3695.0,4,8,3,1,NayaPay,31,0,2,0,Y,1,0,0,synthetic_PK_calibrated
26,male,Faisalabad,urban,8,0,rent,Informal factory worker,1.5,0,473184,home_repair,82175,23.1,0.174,24,lower_middle,299,11802.0,6,6,6,1,EasyPaisa,10,1,4,1,Y,3,1,0,synthetic_PK_calibrated
41,female,Bahawalpur,rural_adjacent,6,0,rent,Small farmer,0.5,1,244488,working_capital,63643,22.0,0.26,12,lower_middle,191,7539.0,6,6,9,0,None,0,1,2,0,N,2,0,0,synthetic_PK_calibrated
31,female,Gujranwala,urban,2,0,rent,Domestic worker,5.9,0,243804,medical_emergency,83002,22.3,0.34,12,very_low,101,1413.0,5,7,4,0,None,0,1,4,0,Y,3,0,0,synthetic_PK_calibrated
27,male,Lahore,urban,3,0,rent,Construction worker,8.9,1,329148,education,100074,21.5,0.304,9,low,105,2832.0,2,10,2,1,JazzCash,30,1,4,0,Y,3,1,0,synthetic_PK_calibrated
45,male,Lahore,urban,7,1,rent,Small farmer,3.4,1,225936,home_repair,119598,28.3,0.529,18,lower_middle,305,12038.0,7,5,6,1,JazzCash,25,1,5,0,Y,3,1,1,synthetic_PK_calibrated
31,male,Sialkot,peri_urban,8,3,family_home,Small shopkeeper,6.9,0,605184,inventory_purchase,139832,28.9,0.231,6,lower_middle,187,7381.0,6,6,11,0,None,0,0,1,0,N,1,1,0,synthetic_PK_calibrated
52,male,Lahore,urban,8,1,family_home,Domestic worker,1.8,0,263064,equipment_purchase,65058,31.3,0.247,18,very_low,115,1609.0,7,5,4,1,NayaPay,10,1,2,0,Y,3,0,1,synthetic_PK_calibrated
56,male,Rahim Yar Khan,rural_adjacent,2,0,family_home,Home-based worker,1.0,0,292032,home_repair,67493,26.0,0.231,6,very_low,87,1217.0,7,5,4,1,NayaPay,10,1,4,0,Y,1,1,0,synthetic_PK_calibrated
55,male,Bahawalpur,rural_adjacent,5,0,own,Small shopkeeper,1.9,0,850836,equipment_purchase,125234,24.9,0.147,9,lower_middle,235,9275.0,7,5,5,1,EasyPaisa,19,1,2,1,Y,0,1,1,synthetic_PK_calibrated
50,female,Lahore,urban,7,2,own,Fruit/veg cart,14.3,0,399408,inventory_purchase,125956,26.3,0.315,24,very_low,94,1315.0,5,7,2,1,SadaPay,28,1,2,1,Y,3,0,0,synthetic_PK_calibrated
48,male,Bahawalpur,rural_adjacent,6,3,family_home,Fruit/veg cart,2.0,0,359676,education,131060,21.5,0.364,3,very_low,98,1371.0,5,7,2,1,NayaPay,4,1,4,0,Y,3,0,1,synthetic_PK_calibrated
32,male,Rawalpindi,urban,6,0,family_home,Domestic worker,0.9,0,292536,education,97021,22.1,0.332,9,very_low,73,1021.0,6,6,2,1,SadaPay,6,1,3,0,N,1,0,0,synthetic_PK_calibrated
39,male,Sialkot,peri_urban,2,0,family_home,Daily wage laborer,11.5,0,375660,working_capital,111233,26.8,0.296,9,very_low,75,1049.0,8,4,3,0,None,0,1,4,0,Y,1,0,0,synthetic_PK_calibrated
23,female,Rawalpindi,urban,5,0,rent,Small shopkeeper,22.2,0,570036,equipment_purchase,29045,22.0,0.051,6,lower_middle,292,11525.0,10,2,9,1,NayaPay,6,1,2,0,N,3,0,0,synthetic_PK_calibrated
43,female,Bahawalpur,rural_adjacent,4,2,rent,Small farmer,6.3,1,426432,medical_emergency,125356,18.1,0.294,18,lower_middle,205,8091.0,7,5,3,1,JazzCash,26,1,3,0,Y,0,1,1,synthetic_PK_calibrated
49,male,Faisalabad,urban,4,1,family_home,Construction worker,1.7,1,253176,medical_emergency,76312,27.0,0.301,6,low,144,3884.0,6,6,0,1,EasyPaisa,17,1,3,1,N,1,0,1,synthetic_PK_calibrated
27,male,Rawalpindi,urban,4,1,rent,Small farmer,2.1,1,236724,livestock,129184,20.2,0.546,3,lower_middle,232,9157.0,4,8,5,1,JazzCash,22,1,3,0,Y,0,0,0,synthetic_PK_calibrated
47,male,Karachi,urban,7,5,own,Home-based worker,6.5,0,242928,livestock,51154,22.9,0.211,3,very_low,108,1511.0,7,5,3,1,EasyPaisa,19,0,4,1,Y,1,1,0,synthetic_PK_calibrated
27,male,Karachi,urban,6,3,rent,Daily wage laborer,11.3,0,293616,working_capital,118550,35.0,0.404,9,very_low,114,1595.0,3,9,4,0,None,0,1,4,0,Y,1,0,1,synthetic_PK_calibrated
